experiment_id,noise_p,basis,folds,B,shots,model_selected,zne_mean,zne_std,ci_lo,ci_hi,ci_width,AIC_lineare,AIC_quadratico,flag_out_of_range,flag_wide_CI,flag_CI_outside_range
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.02,Z,1;3;5;7;9,20,2000,Lineare,0.8813499999999997,0.011444488445949549,0.8674749999999998,0.9042999999999995,0.036824999999999775,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.02,X,1;3;5;7;9,20,2000,Lineare,0.7937499999999997,0.0143559083747131,0.7685999999999997,0.8192499999999997,0.05064999999999997,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.04,Z,1;3;5;7;9,20,2000,Lineare,0.7760499999999998,0.012496209951737183,0.7544249999999999,0.8005249999999997,0.04609999999999981,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.04,X,1;3;5;7;9,20,2000,Lineare,0.6290999999999998,0.021061064100672405,0.5931249999999999,0.6647749999999999,0.07164999999999999,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.06,Z,1;3;5;7;9,20,2000,Lineare,0.6742999999999999,0.014991576582236205,0.6491249999999997,0.6985249999999997,0.0494,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.06,X,1;3;5;7;9,20,2000,Lineare,0.4933499999999998,0.02359811544661094,0.4531749999999999,0.531625,0.07845000000000013,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.08,Z,1;3;5;7;9,20,2000,Lineare,0.5884999999999997,0.015045544890519302,0.5538749999999998,0.6076749999999999,0.05380000000000007,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.08,X,1;3;5;7;9,20,2000,Lineare,0.3842,0.02222753152949591,0.34917499999999996,0.4218749999999997,0.07269999999999976,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.1,Z,1;3;5;7;9,20,2000,Lineare,0.50845,0.016671674686188718,0.47664999999999996,0.5295249999999999,0.05287499999999995,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.1,X,1;3;5;7;9,20,2000,Lineare,0.29539999999999994,0.02256079505877862,0.2607499999999998,0.33187499999999986,0.07112500000000005,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.12,Z,1;3;5;7;9,20,2000,Lineare,0.44164999999999993,0.017809740090895865,0.4138499999999999,0.4783499999999999,0.0645,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.12,X,1;3;5;7;9,20,2000,Lineare,0.22564999999999996,0.022318920460593864,0.19494999999999998,0.2588249999999999,0.06387499999999993,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.15,Z,1;3;5;7;9,20,2000,Lineare,0.3425999999999999,0.01673131322118089,0.312025,0.3786749999999999,0.06664999999999988,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.15,X,1;3;5;7;9,20,2000,Lineare,0.14884999999999998,0.023106788703983215,0.10884999999999996,0.1848249999999999,0.07597499999999995,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.18,Z,1;3;5;7;9,20,2000,Lineare,0.25644999999999996,0.020707168857795683,0.227425,0.29372499999999996,0.06629999999999997,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.18,X,1;3;5;7;9,20,2000,Lineare,0.09314999999999998,0.023310885191709305,0.05264999999999999,0.1309249999999999,0.07827499999999991,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.2,Z,1;3;5;7;9,20,2000,Lineare,0.21299999999999994,0.022320630060905317,0.182,0.24882499999999994,0.06682499999999994,-134.1551055796427,-132.1551055796427,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING,0.2,X,1;3;5;7;9,20,2000,Lineare,0.06934999999999998,0.023524399427425395,0.02612499999999999,0.10677499999999995,0.08064999999999997,-134.1551055796427,-132.1551055796427,False,False,False
